"Scenario","Replicate","Generations","Length_of_benchmarking_reference","Distance_from_HXB2","Average_pairwise_diversity_of_quasispecies","ENV_diversity","Assembly","contigs_..._0_bp.","contigs_..._1000_bp.","contigs_..._5000_bp.","contigs_..._10000_bp.","contigs_..._25000_bp.","contigs_..._50000_bp.","Total_length_..._0_bp.","Total_length_..._1000_bp.","Total_length_..._5000_bp.","Total_length_..._10000_bp.","Total_length_..._25000_bp.","Total_length_..._50000_bp.","contigs","Largest_contig","Total_length","Reference_length","GC_...","Reference_GC_...","N50","NG50","L50","LG50","total_reads","left","right","Mapped_...","Reference_mapped_...","Properly_paired_...","Reference_properly_paired_...","Avg_coverage_depth","Reference_avg_coverage_depth","Coverage_.._1x_...","Reference_coverage_.._1x_...","misassemblies","misassembled_contigs","Misassembled_contigs_length","local_misassemblies","scaffold_gap_ext_mis","scaffold_gap_loc_mis","unaligned_mis_contigs","unaligned_contigs","Unaligned_length","Genome_fraction_...","Duplication_ratio","N.s_per_100_kbp","mismatches_per_100_kbp","indels_per_100_kbp","Largest_alignment","Total_aligned_length","NA50","NGA50","LA50","LGA50","ID","total_reads.1","left.1","right.1","mapped","Mapped_....1","properly_paired","Properly_paired_....1","singletons","Singletons_...","misjoint_mates","Misjoint_mates_...","Avg_coverage_depth.1","Coverage_.._1x_....1","Coverage_.._5x_...","Coverage_.._10x_...","reference_mapped","Reference_mapped_....1","reference_properly_paired","Reference_properly_paired_....1","reference_singletons","Reference_singletons_...","reference_misjoint_mates","Reference_misjoint_mates_...","Reference_avg_coverage_depth.1","Reference_coverage_.._1x_....1","Reference_coverage_.._5x_...","Reference_coverage_.._10x_...","Assembly.1","misassemblies.1","contig_misassemblies","c_relocations","c_translocations","c_inversions","scaffold_misassemblies","s_relocations","s_translocations","s_inversions","misassembled_contigs.1","Misassembled_contigs_length.1","local_misassemblies.1","scaffold_gap_ext_mis.1","scaffold_gap_loc_mis.1","unaligned_mis_contigs.1","mismatches","indels","indels_..._5_bp.","indels_.._5_bp.","Indels_length","fully_unaligned_contigs","Fully_unaligned_length","partially_unaligned_contigs","Partially_unaligned_length","N.s","pos_correct","poserr_major","poserr_ltr","poserr_unmapped","poserr_extramapped","Accuracy","Precision","Sensitivity","Specificity","F1score","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V2.22","SIM_A1_highcov_cont","replicate11",86,8636,1086,35.43737,2.43798,"viralngs_genome",1,1,1,0,0,0,8624,8624,8624,0,0,0,1,8624,8624,8636,"40.82",40.82,8624,"8624",1,"1",79921,175000,175000,435.83,435.51,433.72,433.4,10087,10084,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"0","34.79","8624","8624","8624","8624","1","1","SIM_A1_highcov_cont_replicate11_viralngs_genome",79921,175000,175000,348316,435.83,346632,433.72,1684,2.11,0,0,10087,100,100,100,348316,435.51,346632,433.4,1684,2.11,0,0,10084,100,100,100,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","12",0,0,"0","0",0,348316,0,0,1684,0,0.999769,0.996721,1,0.999752,0.998358,646.78,21.18," 5;31.26",1239308,3777552," 201%"
"V2.32","SIM_A1_highcov_cont","replicate11",86,8636,1086,35.43737,2.43798,"vpipe_genome",1,1,1,0,0,0,8635,8635,8635,0,0,0,1,8635,8635,8636,"41.13",40.82,8635,"8635",1,"1",87152,175000,175000,386.48,435.51,371.84,433.4,9660,10084,99.32,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.849","1.001",0,"1032.24","382.74","8622","8622","8622","8622","1","1","SIM_A1_highcov_cont_replicate11_vpipe_genome",87152,175000,175000,336829,386.48,324068,371.84,12761,14.64,0,0,9660,99.32,99.2,99.2,348316,435.51,346632,433.4,1684,2.11,0,0,10084,100,100,100,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89","33","29","4","93",0,0,"0","0",0,336829,0,0,13171,0,0.993076,0.959732,0.940789,0.997022,0.950166,1420.78,478.46," 11;34.69",1185680,14503144," 273%"
"V23","SIM_A1_highcov_cont","replicate12",692,8642,1154,176.07111,14.49273,"shiver_genome",1,1,1,0,0,0,8622,8622,8622,0,0,0,1,8622,8622,8642,"40.62",40.62,8622,"8622",1,"1",80752,175000,175000,431.28,430.62,429.14,428.48,10082,10077,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"115.98","81.19","8622","8622","8622","8622","1","1","SIM_A1_highcov_cont_replicate12_shiver_genome",80752,175000,175000,348269,431.28,346538,429.14,1731,2.14,0,0,10082,100,100,100,348270,430.62,346540,428.48,1730,2.14,0,0,10077,100,100,100,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","7","7","0","20",0,0,"0","0",0,348269,0,0,1731,0,0.998962,0.993098,1,0.99878,0.996537,42962.25,263.71," 11;29;23",1345804,146614480," 104%"
"V2.13","SIM_A1_highcov_cont","replicate12",692,8642,1154,176.07111,14.49273,"smaltalign_genome",1,1,1,0,0,0,8618,8618,8618,0,0,0,1,8618,8618,8642,"40.61",40.62,8618,"8618",1,"1",80680,175000,175000,431.67,430.62,429.52,428.48,10085,10077,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"139.24","81.23","8618","8618","8618","8618","1","1","SIM_A1_highcov_cont_replicate12_smaltalign_genome",80680,175000,175000,348269,431.67,346538,429.52,1731,2.15,0,0,10085,100,100,100,348270,430.62,346540,428.48,1730,2.14,0,0,10077,100,100,100,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","7","6","1","24",0,0,"0","0",0,348269,0,0,1731,0,0.998962,0.993098,1,0.99878,0.996537,2227.17,19.84," 13;44.72",1448160,2101792," 272%"
"V2.23","SIM_A1_highcov_cont","replicate12",692,8642,1154,176.07111,14.49273,"viralngs_genome",1,1,1,0,0,0,8595,8595,8595,0,0,0,1,8595,8595,8642,"40.65",40.62,8595,"8595",1,"1",80943,175000,175000,429.64,430.62,426.88,428.48,10098,10077,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.733","1",0,"407.21","81.44","8595","8595","8595","8595","1","1","SIM_A1_highcov_cont_replicate12_viralngs_genome",80943,175000,175000,347763,429.64,345526,426.88,2237,2.76,0,0,10098,100,100,100,348270,430.62,346540,428.48,1730,2.14,0,0,10077,100,100,100,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","7","6","1","24",0,0,"0","0",0,347763,0,0,2237,0,0.99804,0.993056,0.993822,0.99878,0.993439,634.12,19.93," 3;32.79",1247364,3693624," 307%"
"V2.33","SIM_A1_highcov_cont","replicate12",692,8642,1154,176.07111,14.49273,"vpipe_genome",1,1,1,0,0,0,8632,8632,8632,0,0,0,1,8632,8632,8642,"41.04",40.62,8632,"8632",1,"1",90449,175000,175000,368.6,430.62,351.59,428.48,9576,10077,99.33,100,"0","0","0","0","0","0","0","0 + 0 part",0,"98.12","1.002",0,"1286.89","389.61","8470","8470","8470","8470","1","1","SIM_A1_highcov_cont_replicate12_vpipe_genome",90449,175000,175000,333396,368.6,318014,351.59,15382,17.01,0,0,9576,99.33,99.25,99.25,348270,430.62,346540,428.48,1730,2.14,0,0,10077,100,100,100,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109","33","28","5","90",0,0,"0","0",0,333396,0,0,16604,0,0.985586,0.951389,0.952124,0.99146,0.951756,1705.44,613.69," 13;03.01",1185264,14508112," 296%"
"V24","SIM_A1_highcov_cont","replicate13",1499,8669,1317,254.50222,17.62727,"shiver_genome",1,1,1,0,0,0,8627,8627,8627,0,0,0,1,8627,8627,8669,"40.38",40.39,8627,"8627",1,"1",97991,175000,175000,355.51,354.02,353.85,352.36,10073,10061,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"0","139.1","8627","8627","8627","8627","1","1","SIM_A1_highcov_cont_replicate13_shiver_genome",97991,175000,175000,348370,355.51,346740,353.85,1630,1.66,0,0,10073,100,100,100,348370,354.02,346740,352.36,1630,1.66,0,0,10061,100,100,100,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","10","2","42",0,0,"0","0",0,348370,0,0,1630,0,0.994258,0.971913,0.998797,0.993187,0.985172,13998.79,109.26," 3;46;05",1344944,44545592," 103%"
"V2.14","SIM_A1_highcov_cont","replicate13",1499,8669,1317,254.50222,17.62727,"smaltalign_genome",1,1,1,0,0,0,8627,8627,8627,0,0,0,1,8627,8627,8669,"40.4",40.39,8627,"8627",1,"1",98152,175000,175000,354.59,354.02,352.59,352.36,10064,10061,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.386","1",0,"23.33","139.96","8574","8574","8574","8574","1","1","SIM_A1_highcov_cont_replicate13_smaltalign_genome",98152,175000,175000,348039,354.59,346078,352.59,1961,2,0,0,10064,100,100,100,348370,354.02,346740,352.36,1630,1.66,0,0,10061,100,100,100,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","12","10","2","42",0,0,"0","0",0,348039,0,0,1961,0,0.993225,0.967366,0.998196,0.992051,0.982539,2587.97,20.56," 17;15.64",1448244,2131184," 251%"
"V2.24","SIM_A1_highcov_cont","replicate13",1499,8669,1317,254.50222,17.62727,"viralngs_genome",1,1,1,0,0,0,8621,8621,8621,0,0,0,1,8621,8621,8669,"40.14",40.39,8621,"8621",1,"1",107026,175000,175000,305.81,354.02,284.6,352.36,9383,10061,97.18,100,"0","0","0","0","0","1","0","0 + 1 part",2881,"63.726","1",3839.46,"1746.41","127.34","5497","5497","5497","5497","1","1","SIM_A1_highcov_cont_replicate13_viralngs_genome",107026,175000,175000,327299,305.81,304600,284.6,22699,21.21,0,0,9383,97.18,97.18,97.18,348370,354.02,346740,352.36,1630,1.66,0,0,10061,100,100,100,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","96","7","6","1","24",0,0,"1","2881",331,327299,0,0,22701,0,0.980707,0.963998,0.933854,0.991767,0.948687,622.25,20.79," 3;10.10",1257560,3721784," 338%"
"V2.34","SIM_A1_highcov_cont","replicate13",1499,8669,1317,254.50222,17.62727,"vpipe_genome",1,1,1,0,0,0,8656,8656,8656,0,0,0,1,8656,8656,8669,"40.69",40.39,8656,"8656",1,"1",107309,175000,175000,307.15,354.02,291.48,352.36,9415,10061,99.34,100,"0","0","0","0","0","0","0","0 + 0 part",0,"98.099","1.004",0,"1519.08","635.89","8492","8492","8492","8492","1","1","SIM_A1_highcov_cont_replicate13_vpipe_genome",107309,175000,175000,329600,307.15,312780,291.48,16820,15.67,0,0,9415,99.34,99.34,99.34,348370,354.02,346740,352.36,1630,1.66,0,0,10061,100,100,100,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","129","54","47","7","147",0,0,"0","0",0,329600,0,0,20400,0,0.973013,0.930639,0.927841,0.983676,0.929238,1981.17,749.07," 14;30.84",1190016,14501064," 313%"
"V25","SIM_A1_highcov_cont","replicate14",1482,8666,1245,369.51515,24.96848,"shiver_genome",1,1,1,0,0,0,8624,8624,8624,0,0,0,1,8624,8624,8666,"40.24",40.19,8624,"8624",1,"1",101954,175000,175000,341.61,340.12,339.92,338.44,10060,10054,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"34.79","139.15","8624","8624","8624","8624","1","1","SIM_A1_highcov_cont_replicate14_shiver_genome",101954,175000,175000,348280,341.61,346560,339.92,1720,1.69,0,0,10060,100,100,100,348280,340.12,346560,338.44,1720,1.68,0,0,10054,100,100,100,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","12","10","2","42",0,0,"0","0",0,348280,0,0,1720,0,0.995405,0.978549,0.996146,0.995243,0.987269,29505.65,199.91," 7;54;44",1344444,94808504," 104%"
"V2.15","SIM_A1_highcov_cont","replicate14",1482,8666,1245,369.51515,24.96848,"smaltalign_genome",1,1,1,0,0,0,8624,8624,8624,0,0,0,1,8624,8624,8666,"40.14",40.19,8624,"8624",1,"1",102141,175000,175000,340.49,340.12,338.31,338.44,10045,10054,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.072","1",0,"468.16","140.45","8544","8544","8544","8544","1","1","SIM_A1_highcov_cont_replicate14_smaltalign_genome",102141,175000,175000,347776,340.49,345552,338.31,2224,2.18,0,0,10045,100,99.93,99.93,348280,340.12,346560,338.44,1720,1.68,0,0,10054,100,100,100,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","12","10","2","42",0,0,"0","0",0,347776,0,0,2224,0,0.994371,0.974214,0.994862,0.994264,0.98443,2965.34,19.56," 20;23.08",1448256,2135496," 244%"
"V2.25","SIM_A1_highcov_cont","replicate14",1482,8666,1245,369.51515,24.96848,"viralngs_genome",1,1,1,0,0,0,8620,8620,8620,0,0,0,1,8620,8620,8666,"40.09",40.19,8620,"8620",1,"1",120087,175000,175000,264.01,340.12,236.73,338.44,9061,10054,94.9,100,"0","0","0","0","0","2","0","0 + 0 part",0,"96.045","1",5928.07,"3067.63","132.85","8280","8280","8280","8280","1","1","SIM_A1_highcov_cont_replicate14_viralngs_genome",120087,175000,175000,317046,264.01,284280,236.73,32766,27.29,0,0,9061,94.9,94.9,94.9,348280,340.12,346560,338.44,1720,1.68,0,0,10054,100,100,100,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","254","11","9","2","39",0,0,"0","0",511,317040,0,0,32954,6,0.97645,0.978754,0.887604,0.995803,0.930953,613.78,21.02," 3;17.48",1247628,3718032," 321%"
"V2.35","SIM_A1_highcov_cont","replicate14",1482,8666,1245,369.51515,24.96848,"vpipe_genome",1,1,1,0,0,0,8644,8644,8644,0,0,0,1,8644,8644,8666,"40.63",40.19,8644,"8644",1,"1",114857,175000,175000,277.55,340.12,255.46,338.44,9097,10054,99.38,100,"0","0","0","0","0","0","0","0 + 0 part",0,"98.098","1.002",0,"1863.21","707.55","8480","8480","8480","8480","1","1","SIM_A1_highcov_cont_replicate14_vpipe_genome",114857,175000,175000,318789,277.55,293414,255.46,25375,22.09,0,0,9097,99.38,99.2,99.2,348280,340.12,346560,338.44,1720,1.68,0,0,10054,100,100,100,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","158","60","50","10","174",0,0,"0","0",0,318789,0,0,31211,0,0.970477,0.915601,0.919717,0.981533,0.917655,2016.52,765.85," 15;05.51",1187596,14500904," 307%"
"V26","SIM_A1_highcov_cont","replicate15",724,8645,1115,225.16667,12.79131,"shiver_genome",1,1,1,0,0,0,8618,8618,8618,0,0,0,1,8618,8618,8645,"40.65",40.65,8618,"8618",1,"1",90755,175000,175000,383.73,382.6,381.81,380.68,10076,10072,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","0.999",0,"11.6","92.83","8618","8618","8618","8618","1","1","SIM_A1_highcov_cont_replicate15_shiver_genome",90755,175000,175000,348255,383.73,346510,381.81,1745,1.92,0,0,10076,100,100,100,348255,382.6,346510,380.68,1745,1.92,0,0,10072,100,100,100,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","7","1","27",0,0,"0","0",0,348255,0,0,1745,0,0.997464,0.987275,0.996224,0.997687,0.991729,5819.87,93.81," 1;33;02",1373060,22440192," 105%"
"V2.16","SIM_A1_highcov_cont","replicate15",724,8645,1115,225.16667,12.79131,"smaltalign_genome",1,1,1,0,0,0,8621,8621,8621,0,0,0,1,8621,8621,8645,"40.64",40.65,8621,"8621",1,"1",91113,175000,175000,381.65,382.6,379.15,380.68,10063,10072,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.849","1",0,"232.34","81.32","8608","8608","8608","8608","1","1","SIM_A1_highcov_cont_replicate15_smaltalign_genome",91113,175000,175000,347729,381.65,345458,379.15,2271,2.49,0,0,10063,100,99.93,99.93,348255,382.6,346510,380.68,1745,1.92,0,0,10072,100,100,100,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","7","6","1","24",0,0,"0","0",0,347729,0,0,2271,0,0.996311,0.981371,0.994713,0.996599,0.987997,2465.99,20.35," 16;10.88",1448356,2117856," 256%"
