"Dataset","Sample","Length_of_benchmarking_reference","Distance_from_HXB2","Assembly","contigs_..._0_bp.","contigs_..._1000_bp.","contigs_..._5000_bp.","contigs_..._10000_bp.","contigs_..._25000_bp.","contigs_..._50000_bp.","Total_length_..._0_bp.","Total_length_..._1000_bp.","Total_length_..._5000_bp.","Total_length_..._10000_bp.","Total_length_..._25000_bp.","Total_length_..._50000_bp.","contigs","Largest_contig","Total_length","Reference_length","GC_...","Reference_GC_...","N50","NG50","N90","NG90","auN","auNG","L50","LG50","L90","LG90","total_reads","left","right","Mapped_...","Reference_mapped_...","Properly_paired_...","Reference_properly_paired_...","Avg_coverage_depth","Reference_avg_coverage_depth","Coverage_.._1x_...","Reference_coverage_.._1x_...","misassemblies","misassembled_contigs","Misassembled_contigs_length","local_misassemblies","scaffold_gap_ext_mis","scaffold_gap_loc_mis","structural_variations","unaligned_mis_contigs","unaligned_contigs","Unaligned_length","Genome_fraction_...","Duplication_ratio","N.s_per_100_kbp","mismatches_per_100_kbp","indels_per_100_kbp","Largest_alignment","Total_aligned_length","NA50","NGA50","NA90","NGA90","auNA","auNGA","LA50","LGA50","LA90","LGA90","ID","total_reads.1","left.1","right.1","mapped","Mapped_....1","properly_paired","Properly_paired_....1","singletons","Singletons_...","misjoint_mates","Misjoint_mates_...","Avg_coverage_depth.1","Coverage_.._1x_....1","Coverage_.._5x_...","Coverage_.._10x_...","reference_mapped","Reference_mapped_....1","reference_properly_paired","Reference_properly_paired_....1","reference_singletons","Reference_singletons_...","reference_misjoint_mates","Reference_misjoint_mates_...","Reference_avg_coverage_depth.1","Reference_coverage_.._1x_....1","Reference_coverage_.._5x_...","Reference_coverage_.._10x_...","Assembly.1","misassemblies.1","contig_misassemblies","c_relocations","c_translocations","c_inversions","scaffold_misassemblies","s_relocations","s_translocations","s_inversions","misassembled_contigs.1","Misassembled_contigs_length.1","local_misassemblies.1","scaffold_gap_ext_mis.1","scaffold_gap_loc_mis.1","structural_variations.1","unaligned_mis_contigs.1","mismatches","indels","indels_..._5_bp.","indels_.._5_bp.","Indels_length","fully_unaligned_contigs","Fully_unaligned_length","partially_unaligned_contigs","Partially_unaligned_length","N.s","pos_correct","poserr_major","poserr_ltr","poserr_unmapped","poserr_extramapped","Accuracy","Precision","Sensitivity","Specificity","F1score","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V2.22","SSNGS_HUN_INT","SSNGS_102.2019.2_INT",998,NA,"viralngs_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,998,39.08,38.97,1195,1195,1195,1195,1195,1430.9,1,1,1,1,726183,383123,383123,11.72,8.26,8.76,5.3,10267,8683,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.01,0,501,0,998,998,"998","998","-","998",833.5,998,"1","1","-","1","SSNGS_HUN_INT_SSNGS_102.2019.2_INT_viralngs_genome",726183,383123,383123,85113,11.72,63642,8.76,19219,2.65,0,0,10267,100,100,100,60596,8.26,38922,5.3,19804,2.7,0,0,8683,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,60589,0,0,681133,24524,0.869456,0.717949,0.965517,0.825183,0.823529,1194.79,32.29," 8;45.16",1280872,8377920," 233%"
"V2.32","SSNGS_HUN_INT","SSNGS_102.2019.2_INT",998,NA,"vpipe_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,998,38.91,38.97,1195,1195,1195,1195,1195,1430.9,1,1,1,1,726150,383123,383123,11.73,8.26,8.77,5.3,10261,8683,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.01,0,801.6,0,998,998,"998","998","-","998",833.5,998,"1","1","-","1","SSNGS_HUN_INT_SSNGS_102.2019.2_INT_vpipe_genome",726150,383123,383123,85184,11.73,63674,8.77,19258,2.65,0,0,10261,100,100,100,60596,8.26,38922,5.3,19804,2.7,0,0,8683,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,60577,0,0,681062,24607,0.867782,0.715976,0.962865,0.823961,0.821267,49581.41,11234.48," 4;24;54",1187844,19233232," 382%"
"V23","SSNGS_HUN_INT","SSNGS_104.2018_INT",1152,NA,"shiver_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1152,38.66,37.73,1195,1195,1195,1195,1195,1239.6,1,1,1,1,240930,125747,125747,13.57,13.09,11.1,10.71,3851,3861,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.013,0,260.42,0,1152,1152,"1152","1152","1152","1152",1110.5,1152,"1","1","1","1","SSNGS_HUN_INT_SSNGS_104.2018_INT_shiver_genome",240930,125747,125747,32685,13.57,26744,11.1,4863,2.02,0,0,3851,100,100,100,31571,13.09,25826,10.71,4699,1.95,0,0,3861,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,31579,0,0,218809,1106,0.978243,0.954064,0.954064,0.985746,0.954064,805.18,18.77," 13;09.52",1550028,4071256," 104%"
"V2.13","SSNGS_HUN_INT","SSNGS_104.2018_INT",1152,NA,"smaltalign_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1152,38.66,37.73,1195,1195,1195,1195,1195,1239.6,1,1,1,1,240929,125747,125747,13.57,13.09,11.1,10.71,3851,3861,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.013,0,260.42,0,1152,1152,"1152","1152","1152","1152",1110.5,1152,"1","1","1","1","SSNGS_HUN_INT_SSNGS_104.2018_INT_smaltalign_genome",240929,125747,125747,32687,13.57,26744,11.1,4865,2.02,0,0,3851,100,100,100,31571,13.09,25826,10.71,4699,1.95,0,0,3861,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,31580,0,0,218807,1107,0.978243,0.954064,0.954064,0.985746,0.954064,791.25,7.11," 4;46.40",1425864,1457984," 278%"
"V2.23","SSNGS_HUN_INT","SSNGS_104.2018_INT",1152,NA,"viralngs_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1152,38.66,37.73,1195,1195,1195,1195,1195,1239.6,1,1,1,1,240928,125747,125747,13.57,13.09,11.1,10.71,3851,3861,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.013,0,260.42,0,1152,1152,"1152","1152","1152","1152",1110.5,1152,"1","1","1","1","SSNGS_HUN_INT_SSNGS_104.2018_INT_viralngs_genome",240928,125747,125747,32686,13.57,26742,11.1,4866,2.02,0,0,3851,100,100,100,31571,13.09,25826,10.71,4699,1.95,0,0,3861,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,31580,0,0,218808,1106,0.979079,0.954225,0.957597,0.985746,0.955908,474.71,14.51," 3;43.59",976720,2858112," 218%"
"V2.33","SSNGS_HUN_INT","SSNGS_104.2018_INT",1152,NA,"vpipe_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1152,38.66,37.73,1195,1195,1195,1195,1195,1239.6,1,1,1,1,240929,125747,125747,13.57,13.09,11.1,10.71,3851,3861,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.013,0,260.42,0,1152,1152,"1152","1152","1152","1152",1110.5,1152,"1","1","1","1","SSNGS_HUN_INT_SSNGS_104.2018_INT_vpipe_genome",240929,125747,125747,32684,13.57,26742,11.1,4864,2.02,0,0,3851,100,100,100,31571,13.09,25826,10.71,4699,1.95,0,0,3861,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,31578,0,0,218810,1106,0.979079,0.954225,0.957597,0.985746,0.955908,13973.95,1592.28," 1;10;23",1195732,16855776," 368%"
"V24","SSNGS_HUN_INT","SSNGS_104.2020_INT",1195,NA,"shiver_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1195,39.41,39.41,1195,1195,1195,1195,1195,1195,1,1,1,1,540553,290614,290614,14.68,14.68,9.63,9.63,9279,9278,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1,0,0,0,1195,1195,"1195","1195","1195","1195",1195,1195,"1","1","1","1","SSNGS_HUN_INT_SSNGS_104.2020_INT_shiver_genome",540553,290614,290614,79343,14.68,52052,9.63,23145,4.28,0,0,9279,100,100,100,79337,14.68,52052,9.63,23145,4.28,0,0,9278,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79332,0,0,501885,11,0.99749,0.99569,0.99784,0.997268,0.996764,3641.98,53.22," 57;39.37",1539804,18437472," 106%"
"V2.14","SSNGS_HUN_INT","SSNGS_104.2020_INT",1195,NA,"smaltalign_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1195,39.41,39.41,1195,1195,1195,1195,1195,1195,1,1,1,1,540555,290614,290614,14.68,14.68,9.63,9.63,9278,9278,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1,0,0,0,1195,1195,"1195","1195","1195","1195",1195,1195,"1","1","1","1","SSNGS_HUN_INT_SSNGS_104.2020_INT_smaltalign_genome",540555,290614,290614,79337,14.68,52050,9.63,23147,4.28,0,0,9278,100,100,100,79337,14.68,52052,9.63,23145,4.28,0,0,9278,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79331,0,0,501891,6,0.996653,0.991435,1,0.994536,0.995699,896.19,7.92," 5;02.91",1425956,1411008," 298%"
"V2.24","SSNGS_HUN_INT","SSNGS_104.2020_INT",1195,NA,"viralngs_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1195,39.41,39.41,1195,1195,1195,1195,1195,1195,1,1,1,1,540557,290614,290614,14.68,14.68,9.63,9.63,9278,9278,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1,0,0,0,1195,1195,"1195","1195","1195","1195",1195,1195,"1","1","1","1","SSNGS_HUN_INT_SSNGS_104.2020_INT_viralngs_genome",540557,290614,290614,79335,14.68,52046,9.63,23145,4.28,0,0,9278,100,100,100,79337,14.68,52052,9.63,23145,4.28,0,0,9278,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79331,0,0,501893,4,0.993305,0.985075,0.99784,0.990437,0.991416,1032.25,28.18," 7;10.85",1389556,7360600," 246%"
"V2.34","SSNGS_HUN_INT","SSNGS_104.2020_INT",1195,NA,"vpipe_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1195,39.41,39.41,1195,1195,1195,1195,1195,1195,1,1,1,1,540556,290614,290614,14.68,14.68,9.63,9.63,9279,9278,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1,0,0,0,1195,1195,"1195","1195","1195","1195",1195,1195,"1","1","1","1","SSNGS_HUN_INT_SSNGS_104.2020_INT_vpipe_genome",540556,290614,290614,79345,14.68,52054,9.63,23143,4.28,0,0,9279,100,100,100,79337,14.68,52052,9.63,23145,4.28,0,0,9278,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79334,0,0,501883,11,1,1,1,1,1,29734.81,6180," 2;39;37",1187064,18591208," 374%"
"V25","SSNGS_HUN_INT","SSNGS_104.2021_INT",1195,NA,"shiver_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1195,38.58,38.21,1195,1195,1195,1195,1195,1195,1,1,1,1,591866,308359,308359,10.16,10.16,8.49,8.49,7237,7237,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.01,0,0,0,1195,1195,"1195","1195","1195","1195",1195,1195,"1","1","1","1","SSNGS_HUN_INT_SSNGS_104.2021_INT_shiver_genome",591866,308359,308359,60146,10.16,50278,8.49,8040,1.36,0,0,7237,100,100,100,60145,10.16,50274,8.49,8039,1.36,0,0,7237,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60141,0,0,556572,5,0.9841,0.964286,0.993103,0.978947,0.978482,1611.91,34.75," 25;53.84",1350464,11764024," 105%"
"V2.15","SSNGS_HUN_INT","SSNGS_104.2021_INT",1195,NA,"smaltalign_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1195,38.49,38.21,1195,1195,1195,1195,1195,1195,1,1,1,1,591866,308359,308359,10.16,10.16,8.49,8.49,7237,7237,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,99.408,1.009,0,0,0,1187,1187,"1187","1187","1187","1187",1179.1,1179.1,"1","1","1","1","SSNGS_HUN_INT_SSNGS_104.2021_INT_smaltalign_genome",591866,308359,308359,60146,10.16,50274,8.49,8038,1.36,0,0,7237,100,99.75,99.75,60145,10.16,50274,8.49,8039,1.36,0,0,7237,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60143,0,0,556572,3,0.979079,0.951542,0.993103,0.971053,0.971879,978.53,6.91," 5;59.74",1425708,1448872," 273%"
"V2.25","SSNGS_HUN_INT","SSNGS_104.2021_INT",1195,NA,"viralngs_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1195,38.36,38.21,1195,1195,1195,1195,1195,1195,1,1,1,1,591863,308359,308359,10.16,10.16,8.49,8.49,7236,7237,98.83,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,98.817,1.009,1171.55,169.64,0,1179,1179,"1179","1179","1179","1179",1163.2,1163.2,"1","1","1","1","SSNGS_HUN_INT_SSNGS_104.2021_INT_viralngs_genome",591863,308359,308359,60148,10.16,50278,8.49,8048,1.36,0,0,7236,98.83,98.83,98.83,60145,10.16,50274,8.49,8039,1.36,0,0,7237,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,60101,0,0,556570,47,0.982427,0.955947,0.997701,0.973684,0.976378,1224.49,31.66," 7;15.02",1255144,8145280," 288%"
"V2.35","SSNGS_HUN_INT","SSNGS_104.2021_INT",1195,NA,"vpipe_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1195,38.49,38.21,1195,1195,1195,1195,1195,1195,1,1,1,1,591866,308359,308359,10.16,10.16,8.49,8.49,7235,7237,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.01,0,83.68,0,1195,1195,"1195","1195","1195","1195",1195,1195,"1","1","1","1","SSNGS_HUN_INT_SSNGS_104.2021_INT_vpipe_genome",591866,308359,308359,60146,10.16,50274,8.49,8038,1.36,0,0,7235,100,100,100,60145,10.16,50274,8.49,8039,1.36,0,0,7237,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60142,0,0,556572,4,0.979916,0.955654,0.990805,0.973684,0.972912,36314.53,8046.07," 3;15;37",1180944,18389552," 377%"
